news_outlet,tweet_date,tweet_text,username,compound,positive,negative,neutral,date
@nytimes,Mon Dec 18 02:32:12 +0000 2017,Toronto Buzzes With Talk of Billionaire Couple’s Suspicious Death https://t.co/pon0pjbUu4,nytimes,-0.7506,0.0,0.444,0.556,2017-12-18 02:32:12
@nytimes,Mon Dec 18 02:32:12 +0000 2017,Toronto Buzzes With Talk of Billionaire Couple’s Suspicious Death https://t.co/pon0pjbUu4,nytimes,-0.7506,0.0,0.444,0.556,2017-12-18 02:32:12
@FoxNews,Mon Dec 18 02:23:34 +0000 2017,#ALSen.-Elect @GDouglasJones Calls for 'Common Ground' https://t.co/KtCXbgSyxo https://t.co/Ib0VpZLKxz,FoxNews,0.0,0.0,0.0,1.0,2017-12-18 02:23:34
@FoxNews,Mon Dec 18 02:22:14 +0000 2017,".@KevinJacksonTBS: ""They say nothing is foolproof for a sufficiently talented fool, and @RahmEmanuel proves that ev… https://t.co/jo367s7pQs",FoxNews,-0.1984,0.154,0.238,0.608,2017-12-18 02:22:14
@FoxNews,Mon Dec 18 02:22:14 +0000 2017,".@KevinJacksonTBS: ""They say nothing is foolproof for a sufficiently talented fool, and @RahmEmanuel proves that ev… https://t.co/jo367s7pQs",FoxNews,-0.1984,0.154,0.238,0.608,2017-12-18 02:22:14
@FoxNews,Mon Dec 18 02:17:40 +0000 2017,".@SteveHiltonx: ""Populism is pro-worker, while elitism is pro-owner. Populism is pro-family, while elitism is pro-i… https://t.co/VrOVgXnxbg",FoxNews,0.0,0.0,0.0,1.0,2017-12-18 02:17:40
@FoxNews,Mon Dec 18 02:17:40 +0000 2017,".@SteveHiltonx: ""Populism is pro-worker, while elitism is pro-owner. Populism is pro-family, while elitism is pro-i… https://t.co/VrOVgXnxbg",FoxNews,0.0,0.0,0.0,1.0,2017-12-18 02:17:40
@CNN,Mon Dec 18 02:14:28 +0000 2017,"At least 27 people have died in the Philippines as a result of landslides caused by Tropical Storm Urduja, accordin… https://t.co/25YkMVMaTL",CNN,-0.5574,0.0,0.159,0.841,2017-12-18 02:14:28
@CNN,Mon Dec 18 02:14:28 +0000 2017,"At least 27 people have died in the Philippines as a result of landslides caused by Tropical Storm Urduja, accordin… https://t.co/25YkMVMaTL",CNN,-0.5574,0.0,0.159,0.841,2017-12-18 02:14:28
@FoxNews,Mon Dec 18 02:14:05 +0000 2017,.@POTUS says he does not plan to fire Robert Mueller. https://t.co/bWaY9BZdSm https://t.co/y6IyluX4uq,FoxNews,0.2584,0.156,0.0,0.844,2017-12-18 02:14:05
@FoxNews,Mon Dec 18 02:14:05 +0000 2017,.@POTUS says he does not plan to fire Robert Mueller. https://t.co/bWaY9BZdSm https://t.co/y6IyluX4uq,FoxNews,0.2584,0.156,0.0,0.844,2017-12-18 02:14:05
@CNN,Mon Dec 18 02:11:25 +0000 2017,"RT @CNNHeroes: ""It takes almost 600 years for a plastic water bottle to break down so that's why we recycle"" says Young Wonder Ryan Hickman…",CNN,0.0,0.0,0.0,1.0,2017-12-18 02:11:25
@CNN,Mon Dec 18 02:11:25 +0000 2017,"RT @CNNHeroes: ""It takes almost 600 years for a plastic water bottle to break down so that's why we recycle"" says Young Wonder Ryan Hickman…",CNN,0.0,0.0,0.0,1.0,2017-12-18 02:11:25
@FoxNews,Mon Dec 18 02:10:10 +0000 2017,".@RubenNavarrette: ""I've never seen the President even think about or talk about, hint at firing Mueller. That's a… https://t.co/jJfpqHNzeN",FoxNews,-0.34,0.0,0.118,0.882,2017-12-18 02:10:10
@FoxNews,Mon Dec 18 02:10:10 +0000 2017,".@RubenNavarrette: ""I've never seen the President even think about or talk about, hint at firing Mueller. That's a… https://t.co/jJfpqHNzeN",FoxNews,-0.34,0.0,0.118,0.882,2017-12-18 02:10:10
